stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
70301009571,,"Berlin, Rothenbachstr.",,52.570174,13.437713,0,900000141503,
70301009572,,"Berlin, Heinersdorf",,52.572564,13.437068,0,900000141001,
70301009573,,"Berlin, Heinersdorf",,52.572564,13.437068,0,900000141001,
70301009574,,"Berlin, Rothenbachstr.",,52.570174,13.437713,0,900000141503,
70301009575,,"Berlin, Heinersdorf Kirche",,52.568165,13.44039,0,900000141002,
70301009576,,"Berlin, Am Wasserturm",,52.565118,13.435969,0,900000141504,
70301009577,,"Berlin, Tino-Schwierzina-Str.",,52.562265,13.434844,0,900000141502,
70301009578,,"Berlin, Am Steinberg",,52.558383,13.433301,0,900000141506,
70301009579,,"Berlin, Prenzlauer Promenade/Am Steinberg",,52.556662,13.429913,0,900000141507,
70301009580,,"Berlin, Prenzlauer Allee/Ostseestr.",,52.551222,13.430178,0,900000110013,
70301009581,,"Berlin, Erich-Weinert-Str.",,52.54778,13.428666,0,900000110509,
70301009582,,S Prenzlauer Allee (Berlin),,52.544802,13.427419,0,900000110002,
70301009583,,"Berlin, Fröbelstr.",,52.542043,13.425914,0,900000110510,
70301009584,,"Berlin, Prenzlauer Allee/Danziger Str.",,52.539179,13.424244,0,900000110017,
70301009585,,"Berlin, Marienburger Str.",,52.535538,13.422093,0,900000110508,
70301009586,,"Berlin, Prenzlauer Allee/Metzer Str.",,52.531032,13.419383,0,900000110506,
70301009587,,"Berlin, Mollstr./Prenzlauer Allee",,52.526867,13.415962,0,900000110022,
70301009588,,"Berlin, Georgenstr./Am Kupfergraben",,52.520484,13.394158,0,900000100541,
70301009591,,S Schöneweide/Sterndamm (Berlin),,52.453921,13.509993,0,900000194006,
70301009592,,"Berlin, Wilhelminenhofstr./Edisonstr.",,52.46246,13.514155,0,900000181001,
70301009593,,S Schöneweide/Sterndamm (Berlin),,52.453921,13.509993,0,900000194006,
70301009594,,"Berlin, Wilhelminenhofstr./ Edisonstr.",,52.461796,13.514015,0,900000181701,
70301009595,,"Berlin, Betriebshof Schöneweide",,52.464556,13.508092,0,900000181005,
70301009596,,S Mahlsdorf (Berlin) [Tram Bus Treskowstr.],,52.511254,13.610653,0,900000176702,
70301009597,,"Berlin, Wilhelmsmühlenweg",,52.50855,13.613191,0,900000176008,
70301009598,,"Berlin, Alt-Mahlsdorf",,52.505116,13.613271,0,900000176524,
70301009599,,"Berlin, Rahnsdorfer Str.",,52.498448,13.613189,0,900000176525,
70301009600,,"Berlin, Ledebourstr.",,52.493715,13.609673,0,900000176526,
70301009601,,"Berlin, Eichenhofweg",,52.490992,13.607645,0,900000176537,
70301009602,,"Berlin, Bruchsaler Str.",,52.48874,13.606031,0,900000176536,
70301009603,,"Berlin, Bütower Str.",,52.485821,13.603938,0,900000176535,
70301009604,,"Berlin, Erich-Baron-Weg",,52.483481,13.602204,0,900000176534,
70301009605,,"Berlin, Roseggerstr.",,52.480296,13.601057,0,900000176533,
70301009606,,"Berlin, Hultschiner Damm/Seestr.",,52.477094,13.600603,0,900000176512,
70301009608,,"Berlin, Mahlsdorf-Süd",,52.47412,13.598537,0,900000180017,
70301009609,,"Berlin, Unter den Birken",,52.469864,13.588876,0,900000180525,
70301009610,,"Berlin, Wongrowitzer Steig",,52.46707,13.585493,0,900000180526,
70301009611,,"Berlin, Mahlsdorfer Str./Gehsener Str.",,52.463202,13.583706,0,900000180010,
70301009612,,"Berlin, Hirtestr.",,52.459937,13.584604,0,900000180016,
70301009613,,S Köpenick (Berlin),,52.458692,13.579543,0,900000180001,
70301009615,,"Berlin, Betriebshof Köpenick",,52.439329,13.581879,0,900000180514,
